key,Arc heating start,Arc heating end,Active power,Reactive power
1,2019-05-03 11:02:14,2019-05-03 11:06:02,0.9760587506,0.6870837212
1,2019-05-03 11:07:28,2019-05-03 11:10:33,0.8056070805,0.5202852488
1,2019-05-03 11:11:44,2019-05-03 11:14:36,0.7443634272,0.4988054037
1,2019-05-03 11:18:14,2019-05-03 11:24:19,1.6593625546000002,1.0626693964
1,2019-05-03 11:26:09,2019-05-03 11:28:37,0.6927547454999999,0.4143972397
2,2019-05-03 11:34:14,2019-05-03 11:36:31,0.4380633413,0.28304335469999997
2,2019-05-03 11:38:50,2019-05-03 11:44:28,1.2964150906,0.8929136693
2,2019-05-03 11:46:19,2019-05-03 11:48:25,0.49037659170000003,0.3052810431
2,2019-05-03 11:49:48,2019-05-03 11:53:18,0.8277430534,0.5168738365
3,2019-05-03 12:06:54,2019-05-03 12:11:34,1.0620529368,0.6714941859
3,2019-05-03 12:13:52,2019-05-03 12:15:56,0.4842056036,0.3120999932
3,2019-05-03 12:18:56,2019-05-03 12:20:45,0.4293545485,0.2717744708
3,2019-05-03 12:25:43,2019-05-03 12:27:00,0.2999892235,0.187805891
3,2019-05-03 12:31:14,2019-05-03 12:32:19,0.2502799034,0.15590143199999998
4,2019-05-03 12:39:37,2019-05-03 12:43:04,0.8753133873000001,0.6144043803
4,2019-05-03 12:44:47,2019-05-03 12:46:26,0.4256924391,0.2684823871
4,2019-05-03 12:48:14,2019-05-03 12:50:51,0.687289238,0.4226922393
4,2019-05-03 12:53:12,2019-05-03 12:57:50,1.2209550142,0.7547186613
5,2019-05-03 13:11:13,2019-05-03 13:15:24,0.9500256151,0.6905228496
5,2019-05-03 13:18:21,2019-05-03 13:20:33,0.5080259442,0.3323522806
5,2019-05-03 13:23:32,2019-05-03 13:30:27,1.6216646433000002,1.0477757454
5,2019-05-03 13:32:44,2019-05-03 13:33:55,0.2674565315,0.1819918156
6,2019-05-03 13:46:51,2019-05-03 13:48:34,0.334139881,0.23043833670000002
6,2019-05-03 13:50:39,2019-05-03 13:57:17,1.6530734599,1.236721009
6,2019-05-03 14:00:00,2019-05-03 14:02:56,0.770170331,0.4782530069
6,2019-05-03 14:04:49,2019-05-03 14:09:24,1.1977243423000001,0.7437630892
7,2019-05-03 14:16:46,2019-05-03 14:18:44,0.38708563380000005,0.23639057579999997
7,2019-05-03 14:21:06,2019-05-03 14:27:03,1.4067042172,0.8599436879000001
7,2019-05-03 14:28:53,2019-05-03 14:30:32,0.3748258352,0.2299623489
7,2019-05-03 14:39:36,2019-05-03 14:41:15,0.37875962259999996,0.23499822620000002
8,2019-05-03 14:53:56,2019-05-03 15:01:11,1.7144648737000001,1.3812338113999998
8,2019-05-03 15:03:50,2019-05-03 15:05:18,0.37543571,0.2443825006
8,2019-05-03 15:07:36,2019-05-03 15:12:59,1.3908343315,0.876786828
8,2019-05-03 15:13:40,2019-05-03 15:14:47,0.2820196152,0.1782946587
9,2019-05-03 15:33:42,2019-05-03 15:36:18,0.5093607588,0.4103988111
9,2019-05-03 15:39:26,2019-05-03 15:42:25,0.5885956286999999,0.40989890689999997
9,2019-05-03 15:46:06,2019-05-03 15:49:22,0.6729934216,0.44537800549999995
9,2019-05-03 15:56:10,2019-05-03 15:57:01,0.16956841949999998,0.11596071720000001
9,2019-05-03 15:59:05,2019-05-03 15:59:48,0.1414322853,0.0970343351
10,2019-05-03 16:11:08,2019-05-03 16:13:35,0.4702946387,0.39887043829999996
10,2019-05-03 16:14:58,2019-05-03 16:19:15,0.8449758589,0.8537384570000001
10,2019-05-03 16:21:38,2019-05-03 16:23:48,0.4757318497,0.39961540700000003
10,2019-05-03 16:25:05,2019-05-03 16:26:40,0.3807930946,0.2725965977
10,2019-05-03 16:29:24,2019-05-03 16:31:08,0.3878097534,0.298764348
10,2019-05-03 16:33:18,2019-05-03 16:34:50,0.36401677130000004,0.2725305557
11,2019-05-03 16:49:14,2019-05-03 16:52:03,0.590658359,0.4315721393
11,2019-05-03 17:03:01,2019-05-03 17:05:01,0.41219741109999997,0.3263426423
11,2019-05-03 17:15:28,2019-05-03 17:16:21,0.1726613045,0.1280426979
11,2019-05-03 17:20:37,2019-05-03 17:24:16,0.8619185686,0.6273888946
11,2019-05-03 17:28:01,2019-05-03 17:29:07,0.2600762844,0.19491326809999998
12,2019-05-03 17:37:30,2019-05-03 17:39:34,0.4196435257,0.33860877159999997
12,2019-05-03 17:43:37,2019-05-03 17:49:39,1.2393378317000001,1.0883897840999999
12,2019-05-03 18:03:52,2019-05-03 18:06:20,0.5131109953,0.3831981421
12,2019-05-03 18:09:48,2019-05-03 18:11:33,0.40942502020000004,0.3222509623
13,2019-05-03 18:35:36,2019-05-03 18:37:45,0.43995078530000004,0.3465871215
13,2019-05-03 18:41:25,2019-05-03 18:45:19,0.9039762020000001,0.7961373626999999
13,2019-05-03 18:46:57,2019-05-03 18:50:59,0.9655861855,0.7757505178
13,2019-05-03 18:53:18,2019-05-03 18:55:53,0.6391789913,0.4581377506
13,2019-05-03 18:57:40,2019-05-03 19:00:40,0.7484085559999999,0.5258278847
13,2019-05-03 19:04:29,2019-05-03 19:05:56,0.35471868520000005,0.25061964989999996
14,2019-05-03 19:56:07,2019-05-03 19:59:26,0.6691642654,0.5053158997999999
