key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
1,,,,43.0,,,,,,,,206.0,,150.0,154.0
2,,,,73.0,,,,,,,,206.0,,149.0,154.0
3,,,,34.0,,,,,,,,205.0,,152.0,153.0
4,,,,81.0,,,,,,,,207.0,,153.0,154.0
5,,,,78.0,,,,,,,,203.0,,151.0,152.0
6,,,,117.0,,,,,,,,204.0,,201.0,154.0
7,,,,117.0,,,,,,,,204.0,,152.0,154.0
8,,,,99.0,,,,,,,,410.0,,252.0,153.0
9,,,,117.0,,,,,,,,107.0,,99.0,203.0
10,,,,,,,,,,,,203.0,,102.0,204.0
11,,,,69.0,,,,,,,,207.0,,101.0,202.0
12,46.0,,,34.0,,,,,,,,618.0,,406.0,203.0
13,,,,,,72.0,,,,,,410.0,,151.0,204.0
14,,,71.0,,,,,,,,,204.0,,152.0,203.0
15,,,,,,77.0,,,,,,,,251.0,203.0
16,,,,,,,,,,,,206.0,,100.0,203.0
17,,,,,,,,,,,,,,153.0,202.0
18,,,,,,76.0,,,,,,206.0,,103.0,203.0
19,,,,,,219.0,,,,,,,,,
20,,,,,,,,,,,,,,249.0,
21,,,151.0,,,,,,,,,233.0,,401.0,202.0
22,,,63.0,,,,,,,,,,,202.0,
23,,,,,,,,,,,,104.0,,302.0,101.0
24,,,89.0,,,108.0,,,,,,412.0,,204.0,203.0
25,,,132.0,,,,,,,,,205.0,,102.0,204.0
26,,,67.0,,,,,,,,,,,,
27,,,,,,,,,,,,205.0,,202.0,153.0
28,,,,,,,,,,,,105.0,,150.0,
29,,,19.0,,,,,,,,,205.0,,150.0,153.0
30,,,21.0,,,,,,,,,105.0,,260.0,104.0
31,,,,,,,,,,,,206.0,,152.0,154.0
32,,,,,,,,,,,,408.0,,257.0,154.0
33,,,44.0,116.0,,,,,,,,459.0,,262.0,154.0
34,,,244.0,,,,,,,,,206.0,,159.0,153.0
35,,,243.0,43.0,,,,,,,,206.0,,154.0,156.0
36,,,,115.0,,,,,,,,204.0,,153.0,155.0
37,,,182.0,,,,,,,,,203.0,,160.0,155.0
38,,,83.0,,,,,,,,,206.0,,99.0,202.0
39,,,,114.0,,,,,,,,155.0,,101.0,204.0
40,,,,106.0,,,,,,,,205.0,,106.0,205.0
