key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
1,2019-05-03 11:11:41,,,,,,,,
2,2019-05-03 11:46:10,,,,,,,,
3,2019-05-03 12:13:47,,,,,,,,
4,2019-05-03 12:48:05,,,,,,,,
5,2019-05-03 13:18:15,2019-05-03 13:32:06,,,,,,,
6,2019-05-03 13:59:02,2019-05-03 13:59:54,,,,,,,
7,2019-05-03 14:28:46,,,,,,,,
8,2019-05-03 15:03:42,,,,,,,,
9,2019-05-03 15:42:43,2019-05-03 15:58:12,,,,,,,
10,2019-05-03 16:20:25,2019-05-03 16:21:02,,,,,,,
11,2019-05-03 17:15:01,,,,,,,,
12,2019-05-03 17:51:14,,,,,,,,
13,2019-05-03 18:52:04,2019-05-03 18:52:34,,,,,,,
14,2019-05-03 20:12:21,2019-05-03 20:13:16,,,,,,,
15,2019-05-03 21:07:40,2019-05-03 21:15:12,,,,,,,
16,2019-05-03 22:17:29,2019-05-03 22:18:30,,,,,,,
17,2019-05-03 22:52:33,2019-05-03 23:05:53,,,,,,,
18,2019-05-03 23:35:52,2019-05-03 23:37:11,,,,,,,
19,2019-05-04 00:53:30,2019-05-04 00:54:36,,,,,,,
20,2019-05-04 01:50:12,2019-05-04 01:51:13,,,,,,,
21,2019-05-04 03:46:19,2019-05-04 03:48:09,,,,,,,
22,2019-05-04 04:00:38,2019-05-04 04:31:27,2019-05-04 04:47:53,,,,,,
23,2019-05-04 05:18:03,2019-05-04 05:20:43,2019-05-04 05:40:08,,,,,,
24,2019-05-04 06:10:47,2019-05-04 06:45:47,,,,,,,
25,2019-05-04 06:36:11,2019-05-04 06:36:50,,,,,,,
26,2019-05-04 07:16:17,,,,,,,,
27,2019-05-04 07:55:27,2019-05-04 08:08:58,,,,,,,
28,2019-05-04 08:35:59,,,,,,,,
29,2019-05-04 09:08:09,,,,,,,,
30,2019-05-04 09:58:42,2019-05-04 09:59:37,,,,,,,
31,2019-05-04 10:29:51,2019-05-04 10:30:43,,,,,,,
32,2019-05-04 12:07:15,,,,,,,,
33,2019-05-04 12:46:40,,,,,,,,
34,2019-05-04 13:40:37,,,,,,,,
35,2019-05-04 14:11:01,,,,,,,,
36,2019-05-04 14:47:45,,,,,,,,
37,2019-05-04 15:22:37,,,,,,,,
38,2019-05-04 16:17:14,,,,,,,,2019-05-04 16:09:11
39,2019-05-04 16:54:23,,,,,,,,
40,2019-05-04 18:11:34,,,,,,,,
43,2019-05-04 20:32:51,2019-05-04 20:33:21,,,,,,,
44,2019-05-04 22:32:10,,,,,,,,
45,2019-05-04 23:16:52,,,,,,,,
46,2019-05-05 00:50:41,,,,,,,,
47,2019-05-05 01:23:53,2019-05-05 01:25:08,,,,,,,
48,2019-05-05 01:48:21,2019-05-05 01:49:21,,,,,,,
49,2019-05-05 04:03:38,,,,,,,,
50,2019-05-05 05:01:49,,,,,,,,
57,2019-05-05 10:24:06,,,,,,,,
58,2019-05-05 11:04:51,2019-05-05 11:05:36,,,,,,,
59,2019-05-05 12:02:48,,,,,,,,
60,2019-05-05 13:17:58,2019-05-05 13:19:39,,,,,,,
61,2019-05-05 14:20:21,2019-05-05 14:21:55,,,,,,,
62,2019-05-05 15:08:30,2019-05-05 15:09:31,,,,,,,
63,2019-05-05 16:00:53,2019-05-05 16:02:13,,,,,,,
64,2019-05-05 16:43:14,2019-05-05 16:44:30,,,,,,,
65,2019-05-05 18:36:45,2019-05-05 18:37:26,,,,,,,
66,2019-05-05 19:16:43,,,,,,,,
67,2019-05-05 19:52:31,,,,,,,,
68,2019-05-05 20:14:17,,,,,,,,
69,2019-05-05 20:34:57,2019-05-05 20:59:49,,,,,,,
70,2019-05-05 21:29:33,,,,,,,,
71,2019-05-05 22:13:20,,,,,,,,
72,2019-05-05 22:46:34,,,,,,,,
73,2019-05-05 23:13:14,,,,,,,,
74,2019-05-06 00:01:23,,,,,,,,
75,2019-05-06 00:50:19,,,,,,,,
76,2019-05-06 01:27:56,,,,,,,,
77,2019-05-06 02:13:38,2019-05-06 02:38:11,,,,,,,
78,2019-05-06 03:01:24,2019-05-06 03:15:17,,,,,,,
79,2019-05-06 04:07:16,2019-05-06 04:20:00,,,,,,,
80,2019-05-06 05:33:41,,,,,,,,
86,2019-05-06 09:31:50,,,,,,,,
87,2019-05-06 10:31:48,,,,,,,,
89,2019-05-06 12:07:48,2019-05-06 12:09:24,,,,,,,
90,2019-05-06 12:41:33,,,,,,,,
91,2019-05-06 13:53:05,2019-05-06 13:54:40,,,,,,,
92,2019-05-06 14:52:45,,,,,,,,
93,2019-05-06 15:21:01,,,,,,,,
94,2019-05-06 15:45:27,,,,,,,,
95,2019-05-06 16:24:20,2019-05-06 16:30:11,,,,,,,
96,2019-05-06 17:22:12,2019-05-06 17:24:24,,,,,,,
97,2019-05-06 18:04:00,,,,,,,,
98,2019-05-06 19:03:36,,,,,,,,
99,2019-05-06 19:42:35,,,,,,,,
100,2019-05-06 20:18:13,,,,,,,,
101,2019-05-06 20:54:39,,,,,,,,
102,2019-05-06 21:49:21,,,,,,,,
103,2019-05-06 22:51:50,2019-05-06 22:53:45,,,,,,,
104,2019-05-06 23:59:25,,,,,,,,
105,2019-05-07 00:53:32,,,,,,,,
106,2019-05-07 01:48:04,,,,,,,,
107,2019-05-07 02:54:07,,,,,,,,
108,2019-05-07 03:26:37,2019-05-07 03:28:18,,,,,,,
110,2019-05-07 05:16:39,2019-05-07 05:17:24,,,,,,,
111,2019-05-07 06:12:10,2019-05-07 06:14:52,,,,,,,
112,2019-05-07 07:04:09,,,,,,,,
113,2019-05-07 08:34:28,,2019-05-07 08:50:29,2019-05-07 08:48:23,,2019-05-07 08:37:20,,,
114,,,2019-05-07 10:17:14,2019-05-07 10:14:55,,2019-05-07 10:06:35,,,
115,,,,,,2019-05-07 11:38:44,,,
116,2019-05-07 13:48:22,2019-05-07 13:58:34,,,,,,,
117,,,2019-05-07 15:50:31,,,2019-05-07 15:48:13,,,
118,,,2019-05-07 16:34:12,2019-05-07 16:09:18,,2019-05-07 16:29:11,,,
119,,,2019-05-07 17:43:23,,,2019-05-07 17:39:18,,,
120,2019-05-07 19:28:06,,,,,,,,
121,2019-05-07 20:14:57,,,,,,,,
122,2019-05-07 20:43:29,,,,,,,,
123,2019-05-07 21:39:48,,2019-05-07 21:58:49,,,2019-05-07 21:41:02,,,
124,2019-05-07 22:14:39,,2019-05-07 22:40:07,,,2019-05-07 22:26:31,,,
125,2019-05-07 22:59:12,,2019-05-07 23:27:46,,,2019-05-07 23:00:40,,,
126,2019-05-07 23:47:58,,,,,,,,
127,2019-05-08 00:23:47,,,,,2019-05-08 00:23:48,,,
128,2019-05-08 01:01:21,,,,,,,,
129,2019-05-08 04:39:13,,,,,,,,
130,2019-05-08 05:24:11,,,,,2019-05-08 05:41:30,,,
131,2019-05-08 06:32:24,,,,,2019-05-08 06:32:57,,,
132,,,,,,2019-05-08 08:30:38,,,
133,2019-05-08 09:31:46,,,,,2019-05-08 09:20:22,,,
134,,,,,,2019-05-08 10:04:54,,,
135,2019-05-08 10:43:58,,,,,2019-05-08 10:45:26,,,
136,2019-05-08 11:46:18,,,,,2019-05-08 11:36:29,,,
137,2019-05-08 12:30:19,,,,,2019-05-08 12:31:36,,,
138,2019-05-08 13:10:44,,,,,2019-05-08 13:11:38,,,
139,2019-05-08 14:11:36,,,,,2019-05-08 14:12:27,,,
140,2019-05-08 15:01:45,2019-05-08 15:17:17,,,,2019-05-08 15:18:20,,,
141,2019-05-08 15:52:18,,,,,2019-05-08 15:54:38,,,
142,2019-05-08 16:26:25,,,,,,,,
143,2019-05-08 17:13:16,,,,,,,,
144,2019-05-08 17:53:27,,,,,2019-05-08 18:10:03,,,
145,2019-05-08 18:36:44,,,,,2019-05-08 18:52:53,,,
146,2019-05-08 19:30:00,,,,,,,,
147,2019-05-08 20:56:18,2019-05-08 20:59:05,,,,2019-05-08 20:57:55,,,
148,2019-05-08 22:13:20,2019-05-08 22:13:56,,,,,,,
149,2019-05-08 23:38:54,,,,,,,,
150,2019-05-09 00:55:23,,,,,,,,
151,2019-05-09 02:05:10,,,,,,,,
152,2019-05-09 01:38:12,,,,,,,,
153,2019-05-09 02:27:20,,,,,,,,
154,2019-05-09 03:32:45,2019-05-09 03:33:15,,,,,,,
155,2019-05-09 04:05:46,,,,,,,,
156,2019-05-09 04:36:28,,,,,,,,
157,2019-05-09 05:59:50,,,,,,,,
158,2019-05-09 06:45:54,2019-05-09 06:46:52,,,,,,,
159,2019-05-09 07:31:13,,,,,,,,
160,2019-05-09 08:16:13,,,,,,,,
161,2019-05-09 09:13:23,2019-05-09 09:15:02,,,,,,,
162,2019-05-09 09:47:56,,,,,,,,
163,2019-05-09 10:49:57,2019-05-09 11:05:43,,,,,,,
164,2019-05-09 11:48:13,2019-05-09 12:02:55,,,,,,,
165,2019-05-09 12:40:40,2019-05-09 12:42:08,,,,,,,
166,2019-05-09 13:50:33,2019-05-09 13:53:49,,,,,,,
167,2019-05-09 15:04:59,2019-05-09 15:15:54,,,,,,,
168,2019-05-09 16:00:07,2019-05-09 16:00:57,,,,,,,
169,2019-05-09 16:28:52,2019-05-09 16:29:32,,,,,,,
170,2019-05-09 17:05:23,2019-05-09 17:21:59,,,,,,,
171,2019-05-09 18:03:34,2019-05-09 17:53:31,,,,,,,
172,2019-05-09 18:54:45,,,,,,,,
173,2019-05-09 19:26:55,,,,,,,,
174,2019-05-09 20:16:32,,,,,,,,
175,2019-05-09 21:00:12,,,,,,,,
176,2019-05-09 21:29:33,,,,,,,,
177,2019-05-09 23:41:05,,,,,,,,
178,2019-05-10 00:28:22,,,,,,,,
179,2019-05-10 01:41:51,,,,,,,,
180,2019-05-10 02:46:14,,,,,,,,
181,2019-05-10 03:32:49,,,,,,,,
182,2019-05-10 04:14:18,,,,,,,,
183,2019-05-10 04:43:29,,,,,,,,
184,2019-05-10 05:29:38,,,,,,,,
185,2019-05-10 05:56:12,,,,,,,,
186,2019-05-10 06:26:23,,,,,,,,
187,2019-05-10 06:57:08,,,,,,,,
188,2019-05-10 07:40:57,,,,,,,,
189,2019-05-10 08:23:05,2019-05-10 08:26:04,,,,,,,
190,2019-05-10 09:36:30,2019-05-10 09:37:16,,,,,,,
191,2019-05-10 10:32:25,,,,,,,,
192,2019-05-10 10:59:38,2019-05-10 11:00:34,,,,,,,
193,2019-05-10 12:09:31,,,,,,,,
194,2019-05-10 13:26:12,,,,,,,,
196,2019-05-10 15:19:28,,,,,,,,
198,2019-05-10 16:51:34,,,,,,,,
199,2019-05-10 17:20:33,,,,,,,,
200,2019-05-10 17:59:48,2019-05-10 18:01:29,,,,,,,
201,2019-05-10 18:46:09,,,,,,,,
202,2019-05-10 19:46:00,2019-05-10 20:23:51,,,,,,,
203,2019-05-10 20:57:38,2019-05-10 20:58:11,,,,,,,
204,2019-05-10 21:24:59,2019-05-10 21:25:46,,,,,,,
205,2019-05-10 21:32:14,2019-05-10 21:56:31,,,,,,,
206,2019-05-10 22:15:28,2019-05-10 22:26:44,,,,,,,
207,2019-05-10 22:49:00,2019-05-10 22:59:54,,,,,,,
208,2019-05-10 23:24:07,,,,,,,,
213,2019-05-11 03:46:47,,,,,,,,
214,2019-05-11 04:51:57,2019-05-11 04:52:56,,,,,,,
215,2019-05-11 05:39:38,,,,,,,,
216,2019-05-11 06:16:50,2019-05-11 06:27:56,,,,,,,
217,2019-05-11 06:45:21,,,,,,,,
218,2019-05-11 07:50:46,,,,,,,,
219,2019-05-11 08:37:05,2019-05-11 08:37:52,,,,,,,
220,2019-05-11 09:43:09,,,,,,,,
221,2019-05-11 10:32:46,2019-05-11 10:33:42,,,,,,,
222,2019-05-11 12:34:54,,,,,,,,
223,2019-05-11 13:37:17,2019-05-11 13:39:12,,,,,,,
224,2019-05-11 14:18:18,2019-05-11 14:19:16,,,,,,,
225,2019-05-11 15:10:37,2019-05-11 15:30:34,,,,,,,
226,2019-05-11 16:19:04,,,,,,,,
227,2019-05-11 17:42:49,,,,,,,,
228,2019-05-11 19:54:28,2019-05-11 19:59:49,,,,,,,
229,2019-05-11 21:12:19,,,,,,,,
230,2019-05-11 22:17:17,,,,,,,,
231,2019-05-11 23:01:52,,,,,,,,
232,2019-05-12 00:00:51,,,,,,,,
233,2019-05-12 00:41:29,,,,,,,,
234,2019-05-12 01:18:46,,,,,,,,
